rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
10,5940,NH투자증권,KOSPI,8071199957850,기타,22650.0,20.0,20.0,0.0,8,7.0,55.0,20750.0,8.388520971302428,4.201680672268908,19.95574557874765,R,21295.0,21131.6,0,True,20.0,0.0,0.0,0,0,,4,26332235900.0,-1069934900.0,,0,2026-01-18 09:23,1
11,34220,LG디스플레이,KOSPI,6260000000000,기타,12520.0,21.0,5.0,8.0,11,9.0,54.0,11700.0,6.549520766773163,11.764705882352942,36.19728729695991,-,12048.5,12516.8,0,False,5.0,8.0,8.0,0,0,,5,27010312930.0,-12111857010.0,,0,2026-01-18 09:23,1
12,5930,삼성전자,KOSPI,881434086585800,기타,148900.0,25.0,15.0,0.0,9,5.0,54.0,132700.0,10.879785090664877,79.83193277310924,73.71543431535046,R,127255.0,112300.0,0,True,15.0,0.0,0.0,0,0,,3,-1274854060400.0,1113598074700.0,,0,2026-01-18 09:23,1
13,397030,에이프릴바이오,KOSDAQ,1143010055500,기타,49250.0,20.0,0.0,12.0,11,9.0,52.0,46500.0,5.583756345177665,95.7983193277311,58.51354682377258,-,51497.5,43961.0,7,False,0.0,12.0,12.0,0,0,,5,12701934600.0,-15417596150.0,,0,2026-01-18 09:23,1
15,249420,일동제약,KOSPI,1233891828000,기타,39000.0,23.0,0.0,12.0,8,9.0,52.0,36400.0,6.666666666666667,61.34453781512605,29.794907247382277,-,38842.5,33966.0,8,False,0.0,12.0,12.0,0,0,,4,2145209400.0,-1221488500.0,,0,2026-01-18 09:23,1
14,207940,삼성바이오로직스,KOSPI,90128481597000,기타,1947000.0,24.0,15.0,0.0,8,5.0,52.0,1671000.0,14.175654853620957,59.66386554621849,39.23330102896794,R,1785100.0,1750760.0,0,True,15.0,0.0,0.0,0,0,,4,47904348000.0,-3688024000.0,,0,2026-01-18 09:23,1
2,270660,에브리봇,KOSDAQ,291043978000,기타,23000.0,25.0,0.0,13.0,8,5.0,51.0,20500.0,10.869565217391305,60.50420168067227,40.97188680031388,-,21255.0,20053.2,3,False,0.0,13.0,13.0,0,0,,3,5446559900.0,-4459381850.0,,0,2026-01-18 09:19,2
16,271560,오리온,KOSPI,4321299227600,기타,109300.0,13.0,20.0,0.0,9,9.0,51.0,102000.0,6.678865507776761,15.126050420168069,19.020130366777003,R,105815.0,104824.0,0,True,20.0,0.0,0.0,0,0,,1,4829362100.0,10454880000.0,,0,2026-01-18 09:23,1
17,402340,SK스퀘어,KOSPI,58976896847500,기타,446500.0,25.0,15.0,0.0,5,5.0,50.0,398500.0,10.750279955207166,52.94117647058823,69.84510597766128,R,377975.0,329750.0,0,True,15.0,0.0,0.0,0,0,,1,77513141000.0,-25187554500.0,,0,2026-01-18 09:23,1
20,660,SK하이닉스,KOSPI,550369787940000,기타,756000.0,25.0,15.0,0.0,4,5.0,49.0,671000.0,11.243386243386242,41.1764705882353,73.2467713928208,R,668350.0,605680.0,0,True,15.0,0.0,0.0,0,0,,0,-1022634258000.0,697095453000.0,,0,2026-01-18 09:23,1
19,64400,LG씨엔에스,KOSPI,6588244464000,기타,68000.0,22.0,0.0,18.0,4,5.0,49.0,59400.0,12.647058823529411,33.61344537815126,33.004265145948565,-,63030.0,61114.0,4,False,0.0,18.0,18.0,0,0,,0,-26631042700.0,7879337800.0,,0,2026-01-18 09:23,1
22,403870,HPSP,KOSDAQ GLOBAL,2989077806000,기타,35750.0,25.0,5.0,8.0,4,7.0,49.0,32700.0,8.531468531468532,26.050420168067227,58.52018132166271,-,32770.0,31364.0,0,False,5.0,8.0,8.0,0,0,,0,-36754141250.0,34124422700.0,,0,2026-01-18 09:23,1
21,42700,한미반도체,KOSPI,17013227700000,기타,178500.0,25.0,15.0,0.0,4,5.0,49.0,153200.0,14.173669467787114,66.38655462184875,60.731054367415176,R,152140.0,135094.0,2,True,15.0,0.0,0.0,0,0,,0,-18313905700.0,46838713100.0,,0,2026-01-18 09:23,1
3,274090,켄코아에어로스페이스,KOSDAQ,261418967840,기타,19780.0,25.0,0.0,12.0,5,7.0,49.0,18130.0,8.341759352881699,100.0,79.2408281049293,-,18178.5,13500.4,8,False,0.0,12.0,12.0,0,0,,2,2510596150.0,-2069558580.0,,0,2026-01-18 09:19,2
18,476060,온코닉테라퓨틱스,KOSDAQ,892021813300,기타,20050.0,24.0,0.0,12.0,4,9.0,49.0,18600.0,7.231920199501247,39.49579831932773,32.13291805952033,-,20041.0,17997.8,8,False,0.0,12.0,12.0,0,0,,0,-10662023440.0,256630230.0,,0,2026-01-18 09:23,1
23,30530,원익홀딩스,KOSDAQ,3282614192500,기타,42500.0,25.0,0.0,12.0,4,7.0,48.0,38400.0,9.647058823529411,34.45378151260504,47.255039008081496,-,40287.5,32886.0,9,False,0.0,12.0,12.0,0,0,,0,-24320085250.0,2984539050.0,,0,2026-01-18 09:23,1
27,161580,필옵틱스,KOSDAQ,1041422241500,기타,44500.0,23.0,10.0,8.0,0,7.0,48.0,40850.0,8.202247191011235,26.89075630252101,28.096866914409123,C,44127.5,43987.0,1,False,10.0,8.0,8.0,0,0,,0,-1511203050.0,-1238426800.0,,0,2026-01-18 09:23,1
28,14680,한솔케미칼,KOSPI,2794125567500,기타,246500.0,25.0,5.0,0.0,11,7.0,48.0,225000.0,8.72210953346856,15.126050420168069,41.67242879532809,-,232925.0,230340.0,0,False,5.0,0.0,0.0,0,0,,5,14024820000.0,-7547542000.0,,0,2026-01-18 09:23,1
25,3380,하림지주,KOSDAQ GLOBAL,1243262393100,기타,11100.0,24.0,0.0,12.0,5,7.0,48.0,10100.0,9.00900900900901,89.91596638655462,33.51010010666992,-,10642.5,9506.2,6,False,0.0,12.0,12.0,0,0,,3,-1234989240.0,-121004340.0,,0,2026-01-18 09:23,1
26,5490,POSCO홀딩스,KOSPI,26829273588000,기타,331500.0,23.0,5.0,8.0,7,5.0,48.0,297000.0,10.407239819004523,5.882352941176471,29.901726278637312,-,313775.0,312150.0,0,False,5.0,8.0,8.0,0,0,,0,143876365000.0,111727298500.0,,0,2026-01-18 09:23,1
24,100790,미래에셋벤처투자,KOSDAQ,680526561540,기타,12810.0,19.0,0.0,12.0,8,9.0,48.0,11950.0,6.713505074160812,91.5966386554622,34.85135511441859,-,14169.5,11024.4,8,False,0.0,12.0,12.0,0,0,,3,9404931210.0,-13291329110.0,,0,2026-01-18 09:23,1
31,204320,HL만도,KOSPI,3014647104000,기타,64200.0,25.0,0.0,8.0,9,5.0,47.0,55200.0,14.018691588785046,94.11764705882354,50.11125639879317,-,57565.0,49981.0,0,False,0.0,8.0,8.0,0,0,,1,12607164200.0,9169630000.0,,0,2026-01-18 09:23,1
29,214150,클래시스,KOSDAQ GLOBAL,3910687842300,기타,59700.0,20.0,0.0,8.0,12,7.0,47.0,54500.0,8.710217755443885,74.78991596638656,20.907527708268333,-,56760.0,55570.0,0,False,0.0,8.0,8.0,0,0,,3,6881380400.0,2307689000.0,,0,2026-01-18 09:23,1
30,2380,KCC,KOSPI,3901160769000,기타,439000.0,22.0,5.0,0.0,15,5.0,47.0,388000.0,11.617312072892938,0.0,42.22869018236956,-,415775.0,418330.0,0,False,5.0,0.0,0.0,0,0,,10,22469163500.0,1703462000.0,,0,2026-01-18 09:24,1
4,394800,쓰리빌리언,KOSDAQ,497384714160,기타,15660.0,18.0,0.0,12.0,8,9.0,47.0,14530.0,7.215836526181353,79.83193277310924,26.101290257972785,-,16816.5,14523.2,9,False,0.0,12.0,12.0,0,0,,3,3475009670.0,-665534990.0,,0,2026-01-18 09:19,2
32,86790,하나금융지주,KOSPI,26830608469600,기타,96400.0,20.0,5.0,0.0,12,10.0,47.0,91700.0,4.875518672199171,0.0,7.385537904868863,-,93970.0,93424.0,0,False,5.0,0.0,0.0,0,0,,3,30861049900.0,10055820900.0,,0,2026-01-18 09:23,1
33,80220,제주반도체,KOSDAQ,1062561398050,기타,30850.0,25.0,15.0,0.0,0,7.0,47.0,28250.0,8.427876823338735,100.0,73.7253102624406,R,26131.0,21964.6,0,True,15.0,0.0,0.0,0,0,,0,-9321077900.0,-471600600.0,,0,2026-01-18 09:23,1
34,83650,비에이치아이,KOSDAQ,1838095875000,기타,59400.0,20.0,0.0,15.0,6,5.0,46.0,52700.0,11.27946127946128,68.0672268907563,18.464404246253387,-,55060.0,50303.0,5,False,0.0,15.0,15.0,0,0,,1,-33803314800.0,12250984600.0,,0,2026-01-18 09:23,1
35,124500,아이티센글로벌,KOSDAQ,747185769400,기타,32200.0,25.0,0.0,12.0,0,9.0,46.0,29850.0,7.298136645962733,72.26890756302521,43.18214868175282,-,31127.5,25380.0,7,False,0.0,12.0,12.0,0,0,,0,-5098864300.0,-297673450.0,,0,2026-01-18 09:23,1
36,131970,두산테스나,KOSDAQ GLOBAL,991487309400,기타,51300.0,25.0,5.0,0.0,6,10.0,46.0,48950.0,4.580896686159844,11.764705882352942,61.64730379203501,-,49470.0,46508.0,1,False,5.0,0.0,0.0,0,0,,1,-4390954300.0,3802501850.0,,0,2026-01-18 09:23,1
37,950160,코오롱티슈진,KOSDAQ,6216628495500,기타,74700.0,24.0,0.0,5.0,9,7.0,45.0,67500.0,9.63855421686747,75.63025210084034,36.35171950870397,-,73620.0,69548.0,3,False,0.0,5.0,5.0,0,0,,2,2533245300.0,159253900.0,,0,2026-01-18 09:23,1
5,54450,텔레칩스,KOSDAQ,225649071700,기타,14900.0,23.0,0.0,12.0,0,10.0,45.0,14500.0,2.684563758389262,100.0,54.51445716302146,-,14790.0,13376.0,6,False,0.0,12.0,12.0,0,0,,0,-2222278980.0,-766452070.0,,0,2026-01-18 09:19,2
39,83450,GST,KOSDAQ,508668000000,기타,27600.0,25.0,0.0,5.0,4,10.0,44.0,26500.0,3.985507246376811,50.42016806722689,43.63933598458218,-,27552.5,26926.0,4,False,0.0,5.0,5.0,0,0,,0,-2183080550.0,166188950.0,,0,2026-01-18 09:23,1
38,195870,해성디에스,KOSPI,924800000000,기타,54400.0,22.0,5.0,0.0,12,5.0,44.0,46350.0,14.79779411764706,0.0,20.775453510732,-,53365.0,52929.0,0,False,5.0,0.0,0.0,0,0,,3,3382787900.0,13687101900.0,,0,2026-01-18 09:24,1
45,90430,아모레퍼시픽,KOSPI,7101020942600,기타,121400.0,7.0,10.0,8.0,8,10.0,43.0,116400.0,4.118616144975288,12.605042016806722,20.281428108156764,C,120880.0,123532.0,0,False,10.0,8.0,8.0,0,0,,3,1604361400.0,-9949014000.0,,0,2026-01-18 09:23,1
44,15760,한국전력,KOSPI,35115435011900,기타,54700.0,24.0,5.0,0.0,9,5.0,43.0,47000.0,14.076782449725778,24.369747899159663,34.021771807399666,-,50050.0,49616.0,1,False,5.0,0.0,0.0,0,0,,1,41232618900.0,69234016200.0,,0,2026-01-18 09:24,1
43,67310,하나마이크론,KOSDAQ,1855269320450,기타,27950.0,25.0,0.0,0.0,9,9.0,43.0,26000.0,6.976744186046512,36.97478991596638,48.78670623299393,-,26332.5,25602.0,0,False,0.0,0.0,0.0,0,0,,1,9416293200.0,620266300.0,,0,2026-01-18 09:24,1
40,278470,에이피알,KOSPI,9002072527500,기타,240500.0,21.0,5.0,0.0,12,5.0,43.0,210000.0,12.681912681912683,11.764705882352942,32.62786120331992,-,232775.0,238180.0,0,False,5.0,0.0,0.0,0,0,,4,16811198500.0,32838748500.0,,0,2026-01-18 09:24,1
41,290650,엘앤씨바이오,KOSDAQ,1371281877600,기타,55200.0,15.0,5.0,5.0,8,10.0,43.0,53400.0,3.260869565217391,26.89075630252101,49.69095124792977,-,61695.0,59774.0,3,False,5.0,5.0,5.0,0,0,,4,3084692900.0,-2490869700.0,,0,2026-01-18 09:23,1
42,240810,원익IPS,KOSDAQ GLOBAL,3764735206700,기타,76700.0,25.0,5.0,0.0,4,9.0,43.0,71800.0,6.388526727509778,10.084033613445378,57.65009631352253,-,70975.0,66384.0,0,False,5.0,0.0,0.0,0,0,,0,-21846284800.0,26843294000.0,,0,2026-01-18 09:23,1
46,58470,리노공업,KOSDAQ GLOBAL,4930906695000,기타,64700.0,25.0,5.0,0.0,4,9.0,43.0,61400.0,5.1004636785162285,26.050420168067227,40.37113194665708,-,62690.0,61580.0,0,False,5.0,0.0,0.0,0,0,,0,-9034646000.0,12536672000.0,,0,2026-01-18 09:23,1
49,189300,인텔리안테크,KOSDAQ,739526712600,기타,68900.0,25.0,0.0,0.0,7,10.0,42.0,66300.0,3.7735849056603774,100.0,83.7910796696872,-,63862.5,51351.0,1,False,0.0,0.0,0.0,0,0,,0,6521771700.0,3374155500.0,,0,2026-01-18 09:23,1
48,267260,HD현대일렉트릭,KOSPI,32658704310000,기타,906000.0,23.0,5.0,0.0,9,5.0,42.0,790000.0,12.803532008830022,8.403361344537815,29.889296861680243,-,832900.0,825160.0,0,False,5.0,0.0,0.0,0,0,,1,17215744000.0,1748132000.0,,0,2026-01-18 09:24,1
47,6260,LS,KOSPI,7037400000000,기타,222000.0,25.0,0.0,0.0,12,5.0,42.0,198300.0,10.675675675675675,45.37815126050421,71.75770839042421,-,202485.0,196028.0,1,False,0.0,0.0,0.0,0,0,,3,23015493000.0,8236722000.0,,0,2026-01-18 09:24,1
50,60280,큐렉소,KOSDAQ,566220062200,기타,13780.0,20.0,0.0,8.0,9,5.0,42.0,12170.0,11.683599419448475,63.02521008403362,15.322838028414436,-,13080.0,12340.4,1,False,0.0,8.0,8.0,0,0,,2,4815067870.0,1178706630.0,,0,2026-01-18 09:24,1
51,140410,메지온,KOSDAQ,2702388346000,기타,89000.0,20.0,0.0,12.0,0,10.0,42.0,85300.0,4.157303370786517,60.50420168067227,46.50975002635808,-,91080.0,80630.0,8,False,0.0,12.0,12.0,0,0,,0,-7567851400.0,-1842763200.0,,0,2026-01-18 09:23,1
53,11070,LG이노텍,KOSPI,6768792602000,기타,286000.0,25.0,0.0,0.0,11,5.0,41.0,253000.0,11.538461538461538,48.739495798319325,44.59550920709237,-,275925.0,264550.0,0,False,0.0,0.0,0.0,0,0,,5,44811073000.0,-11993007000.0,,0,2026-01-18 09:24,1
52,6730,서부T&D,KOSDAQ,892095922020,기타,13740.0,24.0,0.0,5.0,7,5.0,41.0,11790.0,14.192139737991264,77.3109243697479,30.700753648482014,-,12765.5,11775.4,3,False,0.0,5.0,5.0,0,0,,0,4940944180.0,11219917170.0,,0,2026-01-18 09:24,1
54,218410,RFHIC,KOSDAQ,930270814200,기타,35100.0,20.0,0.0,0.0,11,10.0,41.0,34200.0,2.564102564102564,74.78991596638656,63.67049252631746,-,35110.0,32146.0,0,False,0.0,0.0,0.0,0,0,,5,9612295550.0,-9351615200.0,,0,2026-01-18 09:24,1
59,357780,솔브레인,KOSDAQ GLOBAL,2271341272000,기타,292000.0,24.0,5.0,0.0,4,7.0,40.0,268500.0,8.047945205479452,5.882352941176471,36.85842471703915,-,272800.0,267120.0,0,False,5.0,0.0,0.0,0,0,,0,-2020657000.0,3930434500.0,,0,2026-01-18 09:23,1
57,64760,티씨케이,KOSDAQ GLOBAL,1888203362400,기타,168900.0,24.0,5.0,0.0,6,5.0,40.0,148600.0,12.01894612196566,21.008403361344534,36.53051886255165,-,152400.0,151952.0,0,False,5.0,0.0,0.0,0,0,,1,-2403345200.0,3414136400.0,,0,2026-01-18 09:24,1
60,68270,셀트리온,KOSPI,48270842521000,기타,209000.0,25.0,0.0,0.0,5,10.0,40.0,200500.0,4.066985645933015,89.07563025210084,44.89511865292031,-,198765.0,190006.0,0,False,0.0,0.0,0.0,0,0,,2,64416735000.0,-19457458000.0,,0,2026-01-18 09:23,1
55,103590,일진전기,KOSPI,2975568336000,기타,62400.0,24.0,5.0,0.0,2,9.0,40.0,57800.0,7.371794871794872,25.210084033613445,36.72865771516566,-,58490.0,57468.0,2,False,5.0,0.0,0.0,0,0,,1,-1239257500.0,-3810300500.0,,0,2026-01-18 09:23,1
56,12510,더존비즈온,KOSPI,2792177849600,기타,91900.0,22.0,5.0,0.0,3,10.0,40.0,89700.0,2.3939064200217626,19.327731092436974,41.40006693270933,-,88770.0,90530.0,0,False,5.0,0.0,0.0,0,0,,0,8551061700.0,-1471282600.0,,0,2026-01-18 09:23,1
58,39030,이오테크닉스,KOSDAQ GLOBAL,3695865000000,기타,300000.0,25.0,0.0,0.0,5,10.0,40.0,295000.0,1.6666666666666667,48.739495798319325,54.20018351640257,-,285500.0,276270.0,0,False,0.0,0.0,0.0,0,0,,1,6689226500.0,-130823000.0,,0,2026-01-18 09:23,1
61,6280,녹십자,KOSPI,1873352041400,기타,160300.0,17.0,0.0,8.0,4,10.0,39.0,152300.0,4.990642545227699,100.0,22.92169873950664,-,160635.0,147004.0,1,False,0.0,8.0,8.0,0,0,,0,-14579276000.0,13196926500.0,,0,2026-01-18 09:23,1
67,389470,인벤티지랩,KOSDAQ,1006403920600,기타,80600.0,15.0,0.0,12.0,3,9.0,39.0,75500.0,6.327543424317618,77.3109243697479,11.285447354469389,-,82430.0,75806.0,9,False,0.0,12.0,12.0,0,0,,0,4234578500.0,-2601800400.0,,0,2026-01-18 09:23,1
68,126340,비나텍,KOSDAQ,579772258800,기타,86100.0,24.0,0.0,0.0,6,9.0,39.0,80400.0,6.620209059233449,71.42857142857143,35.932829452071545,-,78545.95,67704.18,0,False,0.0,0.0,0.0,0,0,,1,-1709367100.0,10434816300.0,,0,2026-01-18 09:24,1
69,36930,주성엔지니어링,KOSDAQ GLOBAL,1510222855950,기타,31950.0,23.0,0.0,0.0,6,10.0,39.0,30500.0,4.538341158059469,89.91596638655462,58.55968474627826,-,30245.0,29391.0,0,False,0.0,0.0,0.0,0,0,,1,-8492142800.0,2785550600.0,,0,2026-01-18 09:24,1
70,108490,로보티즈,KOSDAQ,3751797660000,기타,257500.0,18.0,5.0,5.0,4,7.0,39.0,233500.0,9.320388349514564,6.722689075630252,29.342277525241965,-,261650.0,249496.0,3,False,5.0,5.0,5.0,0,0,,0,-22118103500.0,39459003000.0,,0,2026-01-18 09:23,1
71,55550,신한지주,KOSPI,38451198772800,기타,79200.0,20.0,5.0,0.0,4,10.0,39.0,76600.0,3.2828282828282838,0.0,26.58932621654594,-,78000.0,78118.0,0,False,5.0,0.0,0.0,0,0,,0,-31874662500.0,49878097700.0,,0,2026-01-18 09:23,1
72,39200,오스코텍,KOSDAQ,1681446835200,기타,43950.0,12.0,0.0,12.0,5,10.0,39.0,42250.0,3.8680318543799777,65.54621848739495,44.93657269441604,-,45707.5,51165.0,5,False,0.0,12.0,12.0,0,0,,2,11402857600.0,-5533650050.0,,0,2026-01-18 09:24,1
65,36570,엔씨소프트,KOSPI,5095161203000,기타,236500.0,25.0,0.0,0.0,9,5.0,39.0,210000.0,11.20507399577167,78.99159663865547,55.76021690058783,-,215635.0,212774.0,0,False,0.0,0.0,0.0,0,0,,2,25019479000.0,41516359000.0,,0,2026-01-18 09:24,1
66,457190,이수스페셜티케미컬,KOSPI,1818538456000,기타,60200.0,23.0,0.0,0.0,7,9.0,39.0,56500.0,6.146179401993355,57.98319327731093,25.418435806202268,-,58475.0,56275.0,2,False,0.0,0.0,0.0,0,0,,0,2066550700.0,801406700.0,,0,2026-01-18 09:24,1
63,28300,HLB,KOSDAQ,6979980392200,기타,52600.0,25.0,5.0,0.0,0,9.0,39.0,49600.0,5.70342205323194,13.445378151260504,49.32026673025074,-,50320.0,49091.0,0,False,5.0,0.0,0.0,0,0,,0,-2823344300.0,-7528733800.0,,0,2026-01-18 09:23,1
64,226950,올릭스,KOSDAQ,2780146889100,기타,137700.0,17.0,5.0,10.0,0,7.0,39.0,124500.0,9.586056644880172,10.084033613445378,21.634711154410983,-,140095.0,134112.0,3,False,5.0,10.0,10.0,0,0,,0,-35894694100.0,-17618105000.0,,0,2026-01-18 09:23,1
6,33530,SJG세종,KOSPI,282104544540,기타,10140.0,23.0,5.0,0.0,4,7.0,39.0,9160.0,9.664694280078894,23.529411764705884,28.6342531709983,-,10047.0,9344.8,2,False,5.0,0.0,0.0,0,0,,0,-319638570.0,92419620.0,,0,2026-01-18 09:19,2
62,145020,휴젤,KOSDAQ GLOBAL,2977575986000,기타,242000.0,13.0,5.0,8.0,6,7.0,39.0,219000.0,9.50413223140496,26.89075630252101,18.142756679195337,-,233050.0,228740.0,0,False,5.0,8.0,8.0,0,0,,1,-12736294000.0,8038732500.0,,0,2026-01-18 09:24,1
75,445680,큐리옥스바이오시스템즈,KOSDAQ,1831822131000,기타,107000.0,24.0,0.0,5.0,4,5.0,38.0,92400.0,13.644859813084112,49.57983193277311,39.54621417587182,-,105935.0,92860.0,3,False,0.0,5.0,5.0,0,0,,0,-8470121400.0,194343900.0,,0,2026-01-18 09:24,1
76,1440,대한전선,KOSPI,4801017975000,기타,25750.0,25.0,0.0,0.0,4,9.0,38.0,23850.0,7.378640776699028,41.1764705882353,40.25041967715489,-,24482.5,23936.0,1,False,0.0,0.0,0.0,0,0,,0,-47464680000.0,7078165900.0,,0,2026-01-18 09:24,1
73,319660,피에스케이,KOSDAQ GLOBAL,1206463638100,기타,41650.0,25.0,0.0,0.0,3,10.0,38.0,40450.0,2.881152460984394,57.142857142857146,67.29805023707411,-,38712.5,35280.0,0,False,0.0,0.0,0.0,0,0,,0,11445154950.0,-10430789550.0,,0,2026-01-18 09:23,1
74,1040,CJ,KOSPI,5461934025600,기타,187200.0,21.0,5.0,0.0,5,7.0,38.0,170300.0,9.027777777777777,9.243697478991596,39.03505394251109,-,176295.0,176996.0,0,False,5.0,0.0,0.0,0,0,,1,22280181600.0,-4609896000.0,,0,2026-01-18 09:24,1
77,475960,토모큐브,KOSDAQ,605474628300,기타,45450.0,15.0,0.0,5.0,8,10.0,38.0,44150.0,2.8602860286028604,36.134453781512605,48.740164981710464,-,48982.5,47693.0,4,False,0.0,5.0,5.0,0,0,,3,1122545500.0,-1684283700.0,,0,2026-01-18 09:24,1
78,35420,NAVER,KOSPI,38507322629000,기타,245500.0,11.0,5.0,8.0,3,10.0,37.0,243500.0,0.8146639511201629,5.042016806722689,38.27882576908526,-,245550.0,249890.0,0,False,5.0,8.0,8.0,0,0,,0,86736044500.0,-31885077500.0,,0,2026-01-18 09:24,1
80,5290,동진쎄미켐,KOSDAQ,2061721209400,기타,40100.0,25.0,0.0,0.0,2,10.0,37.0,39300.0,1.99501246882793,36.134453781512605,42.50216711768521,-,39037.5,37303.0,0,False,0.0,0.0,0.0,0,0,,1,-4843079450.0,-553341800.0,,0,2026-01-18 09:23,1
79,36810,에프에스티,KOSDAQ,672962066200,기타,30650.0,19.0,5.0,0.0,4,9.0,37.0,28700.0,6.36215334420881,28.571428571428573,33.42894240346311,-,31333.35,30390.44,2,False,5.0,0.0,0.0,0,0,,0,-4487672000.0,837981200.0,,0,2026-01-18 09:24,1
7,200710,에이디테크놀로지,KOSDAQ,432794468400,기타,32200.0,24.0,0.0,0.0,4,9.0,37.0,30250.0,6.055900621118012,76.47058823529412,37.92687221566455,-,31065.0,27824.0,2,False,0.0,0.0,0.0,0,0,,0,-15124879100.0,253705450.0,,0,2026-01-18 09:19,2
81,4020,현대제철,KOSPI,4116802467250,기타,30850.0,19.0,5.0,0.0,4,9.0,37.0,28700.0,6.9692058346839545,0.0,20.70441111187754,-,30600.0,30768.0,0,False,5.0,0.0,0.0,0,0,,0,-3010955000.0,6504865400.0,,0,2026-01-18 09:24,1
8,650,천일고속,KOSPI,410186140000,기타,287000.0,15.0,0.0,12.0,5,5.0,37.0,248000.0,13.588850174216027,73.10924369747899,11.532659056988235,-,325475.0,248937.0,8,False,0.0,12.0,12.0,0,0,,1,200803500.0,-22258500.0,,0,2026-01-18 09:19,2
82,220100,퓨쳐켐,KOSDAQ,553957274000,기타,24700.0,11.0,0.0,12.0,3,10.0,36.0,23550.0,4.65587044534413,68.90756302521008,34.366929454729345,-,28715.0,29039.0,6,False,0.0,12.0,12.0,0,0,,0,6746588500.0,-3465660750.0,,0,2026-01-18 09:24,1
83,84370,유진테크,KOSDAQ,1879115444000,기타,82000.0,16.0,5.0,0.0,5,10.0,36.0,80700.0,1.5853658536585369,12.605042016806722,35.19836831005983,-,80565.0,82864.0,1,False,5.0,0.0,0.0,0,0,,1,2442950800.0,-9310871300.0,,0,2026-01-18 09:24,1
